id,name,age,specialty,years_of_experience,salary
4,Laura Martinez4,26,General Surgery,23,188598
6,Patricia Taylor6,33,Ophthalmology,14,118165
7,John Doe7,63,Neurology,35,106288
9,Robert Lee9,42,General Surgery,39,139273
10,David Wilson10,33,Neurology,9,121412
15,Sarah Davis15,37,Neurology,2,127578
17,Sarah Davis17,34,General Surgery,7,179041
20,Laura Martinez20,31,Pediatrics,5,108551
22,Sarah Davis22,58,Cardiology,37,94532
24,Emily Johnson24,35,Neurology,19,131380
25,Sarah Davis25,51,Pediatrics,6,94891
26,Laura Martinez26,62,Orthopedics,12,88187
27,Laura Martinez27,47,Pediatrics,6,138632
28,James Anderson28,43,Orthopedics,8,83614
30,Michael Brown30,40,Neurology,32,113509
33,Sarah Davis33,47,Orthopedics,22,93112
34,Jane Smith34,40,Cardiology,32,128915
35,Robert Lee35,63,Ophthalmology,3,127887
36,John Doe36,58,Pediatrics,27,80436
37,Robert Lee37,64,Cardiology,18,110927
38,David Wilson38,52,Pediatrics,25,80192
39,Robert Lee39,32,General Surgery,11,98619
41,Sarah Davis41,42,General Surgery,24,112691
46,Sarah Davis46,38,Ophthalmology,4,98903
47,David Wilson47,65,Orthopedics,30,88198
