id,name,age,specialty,years_of_experience,salary
1,David Wilson1,26,Orthopedics,24,176160
2,Michael Brown2,52,Ophthalmology,36,164648
4,Laura Martinez4,26,General Surgery,23,188598
7,John Doe7,63,Neurology,35,106288
9,Robert Lee9,42,General Surgery,39,139273
13,Patricia Taylor13,37,Neurology,22,193375
16,Patricia Taylor16,54,Dermatology,40,163619
19,James Anderson19,52,General Surgery,32,177770
29,Emily Johnson29,64,Dermatology,35,98973
30,Michael Brown30,40,Neurology,32,113509
33,Sarah Davis33,47,Orthopedics,22,93112
36,John Doe36,58,Pediatrics,27,80436
38,David Wilson38,52,Pediatrics,25,80192
40,Michael Brown40,39,Ophthalmology,39,153969
41,Sarah Davis41,42,General Surgery,24,112691
45,Jane Smith45,59,General Surgery,40,161014
47,David Wilson47,65,Orthopedics,30,88198
