id,name,age,specialty,years_of_experience,salary
1,David Wilson1,26,Orthopedics,24,176160
2,Michael Brown2,52,Ophthalmology,36,164648
3,James Anderson3,43,Cardiology,25,182182
4,Laura Martinez4,26,General Surgery,23,188598
5,John Doe5,38,Pediatrics,14,150446
6,Patricia Taylor6,33,Ophthalmology,14,118165
7,John Doe7,63,Neurology,35,106288
8,Patricia Taylor8,47,General Surgery,20,164950
9,Robert Lee9,42,General Surgery,39,139273
10,David Wilson10,33,Neurology,9,121412
11,Emily Johnson11,64,Cardiology,31,140569
12,Sarah Davis12,63,Dermatology,17,117982
13,Patricia Taylor13,37,Neurology,22,193375
14,Jane Smith14,57,Dermatology,7,154812
15,Sarah Davis15,37,Neurology,2,127578
16,Patricia Taylor16,54,Dermatology,40,163619
17,Sarah Davis17,34,General Surgery,7,179041
18,Jane Smith18,55,Dermatology,18,118816
19,James Anderson19,52,General Surgery,32,177770
20,Laura Martinez20,31,Pediatrics,5,108551
21,Sarah Davis21,34,Neurology,2,163188
22,Sarah Davis22,58,Cardiology,37,94532
23,Robert Lee23,57,Cardiology,5,197989
24,Emily Johnson24,35,Neurology,19,131380
25,Sarah Davis25,51,Pediatrics,6,94891
26,Laura Martinez26,62,Orthopedics,12,88187
27,Laura Martinez27,47,Pediatrics,6,138632
28,James Anderson28,43,Orthopedics,8,83614
29,Emily Johnson29,64,Dermatology,35,98973
30,Michael Brown30,40,Neurology,32,113509
31,Laura Martinez31,27,Dermatology,11,125370
32,Robert Lee32,25,Orthopedics,18,172816
33,Sarah Davis33,47,Orthopedics,22,93112
34,Jane Smith34,40,Cardiology,32,128915
35,Robert Lee35,63,Ophthalmology,3,127887
36,John Doe36,58,Pediatrics,27,80436
37,Robert Lee37,64,Cardiology,18,110927
38,David Wilson38,52,Pediatrics,25,80192
39,Robert Lee39,32,General Surgery,11,98619
40,Michael Brown40,39,Ophthalmology,39,153969
41,Sarah Davis41,42,General Surgery,24,112691
42,John Doe42,65,Orthopedics,19,194066
43,Patricia Taylor43,56,Cardiology,32,197352
44,James Anderson44,28,Neurology,17,177266
45,Jane Smith45,59,General Surgery,40,161014
46,Sarah Davis46,38,Ophthalmology,4,98903
47,David Wilson47,65,Orthopedics,30,88198
48,Patricia Taylor48,26,Ophthalmology,9,148909
49,Laura Martinez49,58,Dermatology,9,106135
50,Patricia Taylor50,61,Orthopedics,12,167666
51,Patricia Taylor51,45,General Surgery,40,128561
52,James Anderson52,54,Dermatology,40,179217
53,Emily Johnson53,64,Orthopedics,15,142283
54,Sarah Davis54,65,Ophthalmology,5,166845
55,Michael Brown55,58,Ophthalmology,33,182195
